city,lat,lng,temp,humidity,cloudiness,windspeed,country,date
Lębork,54.54,17.75,64.18,63,0,6.93,PL,1600808047
Kieta,-6.22,155.63,81.23,71,100,3.31,PG,1600807823
Ilhabela,-23.78,-45.36,64.13,86,100,11.18,BR,1600808048
Touros,-5.2,-35.46,78.8,74,20,11.41,BR,1600808049
Zhezkazgan,47.8,67.71,49.53,49,98,5.93,KZ,1600808050
Severo-Kuril'sk,50.68,156.12,49.03,83,47,10.98,RU,1600807858
Bloemfontein,-29.12,26.21,53.6,58,0,7.63,ZA,1600808050
Vangaindrano,-23.35,47.6,69.55,86,96,10.65,MG,1600808052
Pisco,-13.7,-76.22,65.1,77,7,9.17,PE,1600808052
Hithadhoo,-0.6,73.08,81.99,68,30,8.25,MV,1600808052
Tucuruí,-3.77,-49.67,90.59,46,91,1.12,BR,1600807764
Chernyshevskiy,63.01,112.47,39.7,94,0,3.18,RU,1600808053
Burnie,-41.07,145.92,48.85,83,87,11.99,AU,1600808053
Kupang,-10.17,123.58,76.05,84,85,9.13,ID,1600808053
Bosobolo,4.18,19.9,71.38,95,98,3.51,CD,1600808053
Ilulissat,69.22,-51.1,26.6,68,40,1.12,GL,1600807921
Westport,41.14,-73.36,69.49,24,1,17.22,US,1600808054
Kloulklubed,7.04,134.26,75.2,94,75,4.7,PW,1600808054
Oyotún,-6.85,-79.3,69.8,64,35,19.46,PE,1600808054
Maţāy,28.42,30.78,79.99,61,0,21.43,EG,1600808054
Churapcha,62.0,132.43,36.05,86,0,2.95,RU,1600808055
Pangnirtung,66.15,-65.71,41.0,44,40,6.93,CA,1600807933
Ust-Kuyga,70.02,135.6,36.93,82,20,5.26,RU,1600808055
Dourbali,11.81,15.86,80.87,61,11,7.81,TD,1600808055
Yar-Sale,66.83,70.83,38.23,83,73,13.51,RU,1600808055
Krasnosel'kup,65.7,82.47,42.66,83,98,14.85,RU,1600808055
Yakovlevka,44.42,133.48,49.01,93,100,2.01,RU,1600808056
Treuchtlingen,48.95,10.92,60.53,82,75,1.12,DE,1600808056
Port Moresby,-9.44,147.18,76.6,88,98,5.48,PG,1600808056
Kondinskoye,59.65,67.41,39.18,82,100,15.73,RU,1600808056
Miyako,39.64,141.95,64.85,83,100,1.03,JP,1600808056
Viedma,-40.81,-63.0,64.0,30,78,5.77,AR,1600807873
Baft,29.23,56.61,60.76,31,0,13.06,IR,1600808057
Tiarei,-17.53,-149.33,84.2,66,20,16.11,PF,1600808057
Coyhaique,-45.58,-72.07,51.8,63,40,11.41,CL,1600808058
Kanniyākumāri,8.08,77.57,78.62,85,63,18.72,IN,1600808058
Codrington,-38.27,141.97,48.87,88,92,9.13,AU,1600808058
Kramat,-8.13,113.45,74.59,88,81,0.83,ID,1600808059
Killybegs,54.63,-8.45,50.0,95,100,1.01,IE,1600807846
Mabaruma,8.2,-59.78,83.12,76,60,5.26,GY,1600808059
Pingliang,35.54,106.69,49.53,88,0,0.58,CN,1600808059
Anadyr,64.75,177.48,35.6,93,48,8.95,RU,1600808059
Half Moon Bay,37.46,-122.43,74.12,72,1,10.29,US,1600808018
Monte Alegre de Sergipe,-10.03,-37.56,75.69,68,70,14.43,BR,1600808059
Gao,16.64,1.64,91.45,32,8,4.83,ML,1600808060
Kargasok,59.06,80.86,37.94,88,69,7.99,RU,1600808060
Fortuna,40.6,-124.16,68.5,68,20,10.29,US,1600808060
Beringovskiy,63.05,179.32,42.21,64,32,6.71,RU,1600808061
Yangi Marg`ilon,40.43,71.72,57.2,67,0,2.24,UZ,1600808061
Praia da Vitória,38.73,-27.07,68.0,77,20,11.45,PT,1600807866
